latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.807,142.0583,313,1,1,8/1/2019,56,Terra,MODIS,48,6.3,297.3,6.6,D,0
-12.4953,131.4897,310.3,4,1.9,8/1/2019,57,Terra,MODIS,36,6.3,298.8,27.6,D,0
-28.0219,148.1972,308.1,3.7,1.8,8/1/2019,101,Terra,MODIS,46,6.3,294.4,31,D,0
-29.6694,116.5634,305.6,1.3,1.1,8/1/2019,240,Terra,MODIS,62,6.3,291.9,7.4,D,0
-32.2111,146.7604,303.7,3.2,1.7,8/1/2019,102,Terra,MODIS,39,6.3,291.3,19.2,D,0
